Ref_publication_date,Ref_journal,Cell_stack_sequence,Cell_area_measured,ETL_deposition_procedure,Perovskite_deposition_procedure,HTL_deposition_procedure
07/11/2018,Journal of Materials Chemistry A,SLG | FTO | ZnO | Perovskite | Spiro-MeOTAD | Au,0.1,Spin-coating,Spin-coating >> Spin-coating,Spin-coating
07/11/2018,Journal of Materials Chemistry A,SLG | FTO | ZnO | Au-nw | Perovskite | Spiro-MeOTAD | Au,0.1,Spin-coating | Spin-coating,Spin-coating >> Spin-coating,Spin-coating
29/01/2020,Energy Technology,SLG | FTO | SnO2-np | Perovskite | Spiro-MeOTAD | Au,1.84,Spray-coating,Spin-coating,Spin-coating
29/01/2020,Energy Technology,SLG | FTO | SnO2-np | Perovskite | Spiro-MeOTAD | Au,1.84,Spin-coating,Spin-coating,Spin-coating
31/01/2020,Advanced Energy Materials,SLG | ITO | NiO-np | PMMA | Perovskite | PCBM-60 | BCP | Ag,3.6,Spin-coating | Spin-coating,Spin-coating,Spin-coating | Spin-coating
17/06/2019,Nature Energy,SLG | FTO | TiO2-c | Perovskite | Spiro-MeOTAD | Au,2,Magnetron sputtering,Spin-coating >> Gas reaction >> Ion exchange,Spin-coating
17/06/2019,Nature Energy,SLG | FTO | TiO2-c | Perovskite | Spiro-MeOTAD | Au,2,Magnetron sputtering,Spin-coating >> Gas reaction >> Ion exchange,Spin-coating
17/06/2019,Nature Energy,SLG | FTO | TiO2-c | Perovskite | Spiro-MeOTAD | Au,2,Magnetron sputtering,Spin-coating >> Gas reaction >> Ion exchange,Spin-coating
17/06/2019,Nature Energy,SLG | FTO | TiO2-c | Perovskite | Spiro-MeOTAD | Au,2,Magnetron sputtering,Spin-coating >> Gas reaction >> Ion exchange,Spin-coating
17/06/2019,Nature Energy,SLG | FTO | TiO2-c | Perovskite | Spiro-MeOTAD | Au,2,Magnetron sputtering,Spin-coating >> Gas reaction >> Ion exchange,Spin-coating
17/06/2019,Nature Energy,SLG | FTO | TiO2-c | Perovskite | Spiro-MeOTAD | Au,2,Magnetron sputtering,Spin-coating >> Gas reaction >> Ion exchange,Spin-coating
17/06/2019,Nature Energy,SLG | FTO | TiO2-c | Perovskite | Spiro-MeOTAD | Au,2,Magnetron sputtering,Spin-coating >> Gas reaction >> Ion exchange,Spin-coating
17/06/2019,Nature Energy,SLG | FTO | TiO2-c | Perovskite | Spiro-MeOTAD | Au,2,Magnetron sputtering,Spin-coating >> Gas reaction >> Ion exchange,Spin-coating
17/06/2019,Nature Energy,SLG | FTO | TiO2-c | Perovskite | Spiro-MeOTAD | Au,2,Magnetron sputtering,Spin-coating >> Gas reaction >> Ion exchange,Spin-coating
17/06/2019,Nature Energy,SLG | FTO | TiO2-c | Perovskite | Spiro-MeOTAD | Au,2,Magnetron sputtering,Spin-coating >> Gas reaction >> Ion exchange,Spin-coating
17/06/2019,Nature Energy,SLG | FTO | TiO2-c | Perovskite | Spiro-MeOTAD | Au,2,Magnetron sputtering,Spin-coating >> Gas reaction >> Ion exchange,Spin-coating
17/06/2019,Nature Energy,SLG | FTO | TiO2-c | Perovskite | Spiro-MeOTAD | Au,2,Magnetron sputtering,Spin-coating >> Gas reaction >> Ion exchange,Spin-coating
12/12/2018,ACS Energy Letters,SLG | ITO | SnO2-np | Perovskite | AL2O3-c | Spiro-MeOTAD | MoOx | ITO | MgF2,0.13,Spin-coating,Spin-coating,ALD | Spin-coating
20/01/2020,Advanced Science,SLG | FTO | TiO2-c | Perovskite | Spiro-MeOTAD | Au,6.75,CBD,Spin-coating,Spin-coating
18/12/2019,Advanced Functional Materials,SLG | ITO | Perovskite | Polyimid | PCBM-60 | BCP | Ag,36,Spin-coating | Spin-coating | Spin-coating,Spin-coating,Unknown
18/12/2019,Advanced Functional Materials,SLG | ITO | CA-Br; TPA-PT-C6 | Perovskite | Polyimid | PCBM-60 | BCP | Ag,36,Spin-coating | Spin-coating | Spin-coating,Spin-coating,Dipp-coating
04/07/2019,Solar RRL,SLG | FTO | SnO2-c | Perovskite | Spiro-MeOTAD | Au,4.45,CBD,Spin-coating,Spin-coating
28/10/2019,ACS Applied Materials & Interfaces,SLG | FTO | TiO2-c | TiO2-mp | Perovskite | P3HT | Au,2.7,Spray-pyrolys | Spin-coating,Spin-coating,Spin-coating
28/10/2019,ACS Applied Materials & Interfaces,SLG | FTO | TiO2-c | TiO2-mp | Perovskite | P3HT | Au,2.7,Spray-pyrolys | Spin-coating,Spin-coating,Spin-coating
01/10/2019,Journal of Materials Chemistry A,SLG | FTO | ZnSO | TiO2-mp | Perovskite | Spiro-MeOTAD | Au,8,Spray-pyrolys | Spin-coating,Doctor blading,Spin-coating
01/10/2019,Journal of Materials Chemistry A,SLG | FTO | ZnSO | TiO2-mp | Perovskite | Spiro-MeOTAD | Au,8,Spray-pyrolys | Spin-coating,Doctor blading,Spin-coating
15/01/2020,Advanced Materials,SLG | FTO | NiO-c | Perovskite | ZnO-np | C60 | Ag,2.7,Spin-coating | Spin-coating,Spin-coating,Spin-coating
10/04/2019,ACS Applied Energy Materials,SLG | FTO | TiO2-c | Perovskite | Spiro-MeOTAD | Au,6.12,CBD,Spin-coating,Spin-coating
10/04/2019,ACS Applied Energy Materials,SLG | FTO | TiO2-c | Perovskite | Spiro-MeOTAD | Au,10.125,CBD,Spin-coating,Spin-coating
10/04/2019,ACS Applied Energy Materials,SLG | FTO | TiO2-c | Perovskite | Spiro-MeOTAD | Au,6.51,CBD,Spin-coating,Spin-coating
07/06/2019,Progress in Photovoltaics: Research and Applications,SLG | ITO | TiO2-c | Perovskite | Spiro-MeOTAD | MoO3 | ITO | MgF2,0.1,E-beam evaporation,Spin-coating,Spin-coating
07/06/2019,Progress in Photovoltaics: Research and Applications,SLG | ITO | TiO2-c | Perovskite | Spiro-MeOTAD | MoO3 | ITO | MgF2,0.1,E-beam evaporation,Spin-coating,Spin-coating
24/05/2017,Advanced Functional Materials,SLG | ITO | TiO2-c | PCBM-60 | Perovskite | Spiro-MeOTAD | Au,0.1,E-beam evaporation | Spin-coating,Spin-coating >> Spin-coating,Spin-coating
19/04/2017,Journal of Materials Chemistry A,SLG | ITO | TiO2-c | Perovskite | Spiro-MeOTAD | ITO,3.76,E-beam evaporation,Spin-coating,Spin-coating
19/04/2017,Journal of Materials Chemistry A,SLG | ITO | TiO2-c | Perovskite | Spiro-MeOTAD | Au,3.76,E-beam evaporation,Spin-coating,Spin-coating
