Ref_publication_date,Ref_journal,Cell_stack_sequence,Cell_area_measured,ETL_deposition_procedure,Perovskite_deposition_procedure,HTL_deposition_procedure
25/06/2019,ACS Applied Materials & Interfaces,SLG | FTO | TiO2-c | TiO2-mp | Perovskite | Spiro-MeOTAD | Au,2.72,Spray-pyrolys | Doctor blading,Doctor blading >> CBD,Doctor blading
25/06/2019,ACS Applied Materials & Interfaces,SLG | FTO | TiO2-c | TiO2-mp | Perovskite | Spiro-MeOTAD | Au,2.72,Spray-pyrolys | Doctor blading,Doctor blading >> CBD,Doctor blading
25/06/2019,ACS Applied Materials & Interfaces,SLG | FTO | TiO2-c | TiO2-mp | Perovskite | Spiro-MeOTAD | Au,2.72,Spray-pyrolys | Doctor blading,Doctor blading >> CBD,Doctor blading
25/06/2019,ACS Applied Materials & Interfaces,SLG | FTO | TiO2-c | TiO2-mp | Perovskite | Spiro-MeOTAD | Au,4.978,Spray-pyrolys | Doctor blading,Doctor blading >> CBD,Doctor blading
25/06/2019,ACS Applied Materials & Interfaces,SLG | FTO | TiO2-c | TiO2-mp | Perovskite | Spiro-MeOTAD | Au,3.8,Spray-pyrolys | Doctor blading,Doctor blading >> CBD,Doctor blading
25/06/2019,ACS Applied Materials & Interfaces,SLG | FTO | TiO2-c | TiO2-mp | Perovskite | Spiro-MeOTAD | Au,3.8,Spray-pyrolys | Doctor blading,Doctor blading >> CBD,Doctor blading
01/10/2018,Journal of Materials Chemistry A,SLG | FTO | SnO2-c | Perovskite | Spiro-MeOTAD | Au,4.58,CBD,Evaporation >> Evaporation >> Gas reaction,Spin-coating
04/09/2018,Nanoscale,"SLG | FTO | TiO2-c | TiO2-mp | Perovskite | cyclopenta[2,1-b; 3,4-b?]dithiophene | MoOx | Ag",2.34,Spray-pyrolys | Screen printing,Spin-coating,Spin-coating
04/09/2018,Nanoscale,"SLG | FTO | TiO2-c | TiO2-mp | Perovskite | cyclopenta[2,1-b; 3,4-b?]dithiophene | MoOx | SLG | ITO",2.34,Spray-pyrolys | Screen printing,Spin-coating,Spin-coating
04/09/2018,Nanoscale,"SLG | FTO | TiO2-c | TiO2-mp | Perovskite | cyclopenta[2,1-b; 3,4-b?]dithiophene | MoOx | SLG | ITO",2.34,Spray-pyrolys | Screen printing,Spin-coating,Spin-coating
17/07/2018,ChemSusChem,SLG | FTO | SnO2-np | Perovskite | Spiro-MeOTAD | Au,2.678333333,Doctor blading,Spin-coating,Spin-coating
25/08/2017,"Organic, Hybrid, and Perovskite Photovoltaics XVIII",SLG | ITO | TiO2-c | Perovskite | Spiro-MeOTAD | Au,9.25,E-beam evaporation,Slot-die coating,Spin-coating
27/12/2018,ACS Omega,SLG | FTO | NiO-c | Perovskite | PCBM-60 | BCP | Ag,0.25,Spin-coating | Spin-coating,Spin-coating,Electrodeposition
25/02/2019,ACS Energy Letters,SLG | FTO | SnO2-np | Perovskite | Spiro-MeOTAD | Au,6.25,Spin-coating,Spin-coating,Spin-coating
