NO,Perovskite Thickness,ETL Thickness,Provskite Bandgap,ETL Bandgap,Voc ,Jsc ,FF ,eta ,V_MPP ,J_MPP 
,3.71E-01,2.07E-01,1.65E+00,3.22E+00,0.802324,18.97603639,80.8321,12.3066,0.69451,17.71988752
,3.71E-01,2.19E-01,1.65E+00,3.22E+00,0.802307,18.96631894,80.8319,12.3,0.694497,17.71070932
,3.71E-01,2.30E-01,1.65E+00,3.22E+00,0.802291,18.956806,80.8317,12.2936,0.694485,17.70172243
,3.82E-01,1.50E-01,1.65E+00,3.22E+00,0.803976,19.191484,80.8247,12.4709,0.695579,17.92872787
,3.82E-01,1.61E-01,1.65E+00,3.22E+00,0.803958,19.18061612,80.8245,12.4635,0.695565,17.91847763
,3.82E-01,1.73E-01,1.65E+00,3.22E+00,0.803939,19.16998407,80.8244,12.4562,0.695551,17.9084478
,3.82E-01,1.84E-01,1.65E+00,3.22E+00,0.803921,19.15958133,80.8242,12.4492,0.695538,17.89863234
,3.82E-01,1.96E-01,1.65E+00,3.22E+00,0.803903,19.14940163,80.824,12.4423,0.695524,17.88902544
,3.82E-01,2.07E-01,1.65E+00,3.22E+00,0.803886,19.1394389,80.8238,12.4355,0.695511,17.87962148
,3.82E-01,2.19E-01,1.65E+00,3.22E+00,0.803869,19.12968734,80.8235,12.4288,0.695498,17.87041508
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
