Ref_ID,ETL_stack_sequence,ETL_thickness,ETL_deposition_procedure
1,TiO2-c | TiO2-mp,65.0 | nan,Spray-pyrolys | Spin-coating
2,TiO2-c | TiO2-mp,65.0 | nan,Spray-pyrolys | Spin-coating
3,TiO2-c | TiO2-mp,65.0 | nan,Spray-pyrolys | Spin-coating
4,TiO2-c | TiO2-mp,65.0 | nan,Spray-pyrolys | Spin-coating
5,TiO2-c | TiO2-mp,65.0 | nan,Spray-pyrolys | Spin-coating
6,TiO2-c | TiO2-mp,65.0 | nan,Spray-pyrolys | Spin-coating
7,TiO2-c | TiO2-mp,65.0 | nan,Spray-pyrolys | Spin-coating
8,TiO2-c | TiO2-mp,65.0 | nan,Spray-pyrolys | Spin-coating
9,TiO2-c | TiO2-mp,65.0 | nan,Spray-pyrolys | Spin-coating
10,TiO2-c | TiO2-nw,nan | 400.0,CBD | Hydrothermal
11,TiO2-c | TiO2-nw,nan | nan,CBD | Hydrothermal
12,TiO2-c | TiO2-nw,nan | 350.0,CBD | Hydrothermal
13,TiO2-c | TiO2-np,nan | nan,Spin-coating | Spin-coating
14,TiO2-c | TiO2-np,nan | nan,Spin-coating | Spin-coating
15,TiO2-c | TiO2-np,nan | nan,Spin-coating | Spin-coating
16,PCBM-70 | BCP,nan | nan,Spin-coating | Spin-coating
17,PCBM-70 | BCP,nan | nan,Spin-coating | Spin-coating
18,PCBM-70 | BCP,nan | nan,Spin-coating | Spin-coating
19,PCBM-70 | BCP,nan | nan,Spin-coating | Spin-coating
20,TiO2-c,,Spin-coating
21,TiO2-c,,Spin-coating
22,TiO2-c,80,CBD
23,TiO2-c,80,CBD
24,TiO2-c,80,CBD
25,TiO2-c,80,CBD
26,TiO2-c,80,CBD
27,TiO2-c,80,CBD
28,TiO2-c,,Spin-coating
29,TiO2-c,,Spin-coating
30,TiO2-c,,Spin-coating
31,TiO2-c,,Spin-coating
32,TiO2-c,,Spin-coating
33,TiO2-c,,Spin-coating
34,PCBM-60,,Spin-coating
35,PCBM-60,,Spin-coating
36,PCBM-60,,Spin-coating
37,PCBM-60,,Spin-coating
38,PCBM-60,,Spin-coating
39,PCBM-60,,Spin-coating
40,TiO2-c | TiO2-mp,30.0 | nan,Spray-pyrolys | Spin-coating
41,TiO2-c | TiO2-mp,30.0 | nan,Spray-pyrolys | Spin-coating
42,TiO2-c | TiO2-mp,30.0 | nan,Spray-pyrolys | Spin-coating
43,SnO2-c,25,CBD
44,SnO2-c,25,CBD
45,SnO2-c,25,CBD
46,SnO2-c,25,CBD
47,SnO2-c,25,CBD
48,SnO2-c,25,CBD
49,SnO2 | C60,nan | nan,Unknown | Unknown
50,PCBM-60,30,Spin-coating
51,PCBM-60,30,Spin-coating
52,PCBM-60,30,Spin-coating
53,PCBM-60,30,Spin-coating
54,PCBM-60,150,Spin-coating
55,PCBM-60,150,Spin-coating
56,PCBM-60 | Carbon-QDs,150.0 | 10.0,Spin-coating | Spin-coating
57,PCBM-60 | Carbon-QDs,150.0 | 10.0,Spin-coating | Spin-coating
58,PCBM-60,150,Spin-coating
59,PCBM-60,150,Spin-coating
60,PCBM-60 | Carbon-QDs,150.0 | 10.0,Spin-coating | Spin-coating
61,PCBM-60 | Carbon-QDs,150.0 | 10.0,Spin-coating | Spin-coating
62,TiO2-c | TiO2-mp,nan | nan,Spin-coating | Spin-coating
63,TiO2-c | TiO2-mp,100.0 | nan,Spin-coating | Spin-coating
64,TiO2-c | TiO2-mp,100.0 | nan,Spin-coating | Spin-coating
65,TiO2-c | TiO2-mp,100.0 | nan,Spin-coating | Spin-coating
66,TiO2-c | TiO2-mp,100.0 | nan,Spin-coating | Spin-coating
67,PCBM-60 | ZnO-np,nan | nan,Spin-coating | Spin-coating
68,PCBM-60 | Bphen,nan | nan,Spin-coating | Evaporation
69,PCBM-60 | Bphen,nan | nan,Spin-coating | Evaporation
70,PCBM-60 | Bphen,nan | nan,Spin-coating | Evaporation
71,PCBM-60 | Bphen,nan | nan,Spin-coating | Evaporation
72,TiO2-c,,Spray-pyrolys
73,CdS,50,CBD
74,CdS,15,CBD
75,TiO2-c | TiO2-mp,nan | nan,Spin-coating | Electrospraying
76,TiO2-c | TiO2-mp,nan | nan,Spin-coating | Electrospraying
77,TiO2-c | TiO2-mp,nan | nan,Spin-coating | Electrospraying
78,TiO2-c | TiO2-mp,nan | nan,Spin-coating | Electrospraying
79,TiO2-c | TiO2-mp,nan | nan,Spin-coating | Electrospraying
80,PCBM-60 | BCP,80.0 | 8.0,Spin-coating | Evaporation
81,TiO2-c | TiO2-mp,nan | nan,Spin-coating | Spin-coating
82,TiO2-c | TiO2-mp,nan | nan,Spin-coating | Spin-coating
83,PCBM-60,,Spin-coating
84,PCBM-60,,Spin-coating
85,SnO2-nt,,Hydrothermal
86,AZO | ZnO-nw,700.0 | 420.0,Sputtering | CBD
87,AZO | ZnO-nw,700.0 | 1970.0,Sputtering | CBD
88,AZO | ZnO-nw,700.0 | 2400.0,Sputtering | CBD
89,TiO2-c,,Spin-coating
90,TiO2-c,,Spin-coating
91,TiO2-c,,Spin-coating
92,Nb2O5 | PCBM-60 | Bphen,nan | nan | nan,Spin-coating | Spin-coating | Spin-coating
93,PCBM-60 | Bphen,nan | nan,Spin-coating | Spin-coating
94,ZnO-np | C60,nan | nan,Spin-coating | Spin-coating
95,Nb2O5 | PCBM-60 | Bphen,nan | nan | nan,Spin-coating | Spin-coating | Spin-coating
96,PCBM-60 | Bphen,nan | nan,Spin-coating | Spin-coating
97,ZnO-np | C60,nan | nan,Spin-coating | Spin-coating
98,PCBM-60,,Spin-coating
99,PCBM-60 | Bphen,nan | nan,Spin-coating | Spin-coating
100,PCBM-60 | Bphen,nan | nan,Spin-coating | Spin-coating
101,PCBM-60 | Bphen,nan | nan,Spin-coating | Spin-coating
102,PCBM-60 | Bphen,nan | nan,Spin-coating | Spin-coating
103,PCBM-60 | Bphen,nan | nan,Spin-coating | Spin-coating
104,TiO2-c,50,Spin-coating
105,PCBM-60 | Rhodamine 101 | LiF,20.0 | nan | 1.0,Spin-coating | Spin-coating | Evaporation
106,PCBM-60 | Rhodamine 101 | LiF,20.0 | nan | 1.0,Spin-coating | Spin-coating | Evaporation
107,PCBM-60 | Rhodamine 101 | LiF,20.0 | nan | 1.0,Spin-coating | Spin-coating | Evaporation
108,PCBM-60 | Rhodamine 101 | LiF,20.0 | nan | 1.0,Spin-coating | Spin-coating | Evaporation
109,PCBM-60 | Rhodamine 101 | LiF,20.0 | nan | 1.0,Spin-coating | Spin-coating | Evaporation
110,PCBM-60 | Rhodamine 101 | LiF,20.0 | nan | 1.0,Spin-coating | Spin-coating | Evaporation
111,PCBM-60 | Rhodamine 101 | LiF,20.0 | nan | 1.0,Spin-coating | Spin-coating | Evaporation
112,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
113,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
114,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
115,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
116,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
117,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
118,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
119,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
120,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
121,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
122,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
123,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
124,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
125,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
126,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
127,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
128,TiO2-c | TiO2-mp,nan | 100.0,Spin-coating | Spin-coating
129,TiO2-c | TiO2-mp,nan | 100.0,Spin-coating | Spin-coating
130,PCBM-60,40,Spin-coating
131,PCBM-60,40,Spin-coating
132,PCBM-60,40,Spin-coating
133,PCBM-60,40,Spin-coating
134,TiO2-c | TiO2-mp,nan | 350.0,Spray-pyrolys | Spin-coating
135,TiO2-c | TiO2-mp,nan | 350.0,Spray-pyrolys | Spin-coating
136,TiO2-c | TiO2-mp,nan | 350.0,Spray-pyrolys | Spin-coating
137,TiO2-c | TiO2-mp,nan | 350.0,Spray-pyrolys | Spin-coating
138,TiO2-c | TiO2-mp,nan | 350.0,Spray-pyrolys | Spin-coating
139,TiO2-c | TiO2-mp,nan | 350.0,Spray-pyrolys | Spin-coating
140,TiO2-c | TiO2-mp,nan | 350.0,Spray-pyrolys | Spin-coating
141,PCBM-70,40,Spin-coating
142,PCBM-70,40,Spin-coating
143,PCBM-70,40,Spin-coating
144,PCBM-70,40,Spin-coating
145,PCBM-70,60,Spin-coating
146,PCBM-70,90,Spin-coating
147,PCBM-70,120,Spin-coating
148,PCBM-70,40,Spin-coating
149,PCBM-70,40,Spin-coating
150,PCBM-70,40,Spin-coating
151,PCBM-60,,Spin-coating
152,PCBM-60,,Spin-coating
153,PCBM-60,,Spin-coating
154,PCBM-60,,Spin-coating
155,PCBM-60,,Spin-coating
156,PCBM-60,,Spin-coating
157,PCBM-60,,Spin-coating
158,PCBM-60,,Spin-coating
159,PCBM-60,,Spin-coating
160,PCBM-60,,Spin-coating
161,PCBM-60,,Spin-coating
162,PCBM-60,,Spin-coating
163,TiO2-c,,Spin-coating
164,TiO2-c,,Spin-coating
165,TiO2-c,,Spin-coating
166,TiO2-c,,Spin-coating
167,TiO2-c,,Spin-coating
168,TiO2-c,,Spin-coating
169,TiO2-c,,Spin-coating
170,TiO2-c,,Spin-coating
171,TiO2-c,,Spin-coating
172,TiO2-c | TiO2-mp,80.0 | 400.0,Spray-pyrolys | Spin-coating
173,TiO2-c | TiO2-mp,80.0 | 400.0,Spray-pyrolys | Spin-coating
174,TiO2-c | TiO2-mp,80.0 | 400.0,Spray-pyrolys | Spin-coating
175,TiO2-c | TiO2-mp,80.0 | 400.0,Spray-pyrolys | Spin-coating
176,TiO2-c | TiO2-mp,80.0 | 400.0,Spray-pyrolys | Spin-coating
177,TiO2-c | TiO2-mp,80.0 | 400.0,Spray-pyrolys | Spin-coating
178,TiO2-c | TiO2-mp,80.0 | 400.0,Spray-pyrolys | Spin-coating
179,PCBM-60 | C60 | BCP,nan | 20.0 | 7.5,Spin-coating | Evaporation | Evaporation
180,PCBM-60 | C60 | BCP,nan | 20.0 | 7.5,Spin-coating | Evaporation | Evaporation
181,PCBM-60 | BCP,,Spin-coating | Evaporation
182,PCBM-60 | BCP,,Spin-coating | Evaporation
183,PCBM-60 | BCP,,Spin-coating | Evaporation
184,PCBM-60 | BCP,,Spin-coating | Evaporation
185,PCBM-60 | BCP,,Spin-coating | Evaporation
186,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
187,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
188,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
189,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
190,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
191,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
192,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
193,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
194,ZnO-c | ZnO-nw | TiO2-c,,Spin-coating | Hydrothermal | Hydrothermal
195,ZnO-c | ZnO-nw,,Spin-coating | Hydrothermal
196,TiO2-c | TiO2-mp,68.0 | nan,ALD | Spin-coating
197,TiO2-c | TiO2-mp,106.0 | nan,ALD | Spin-coating
198,TiO2-c | TiO2-mp,145.0 | nan,ALD | Spin-coating
199,TiO2-c | TiO2-mp,181.0 | nan,ALD | Spin-coating
200,TiO2-c | TiO2-mp,368.0 | nan,ALD | Spin-coating
201,TiO2-c | TiO2-mp,16.0 | nan,ALD | Spin-coating
202,TiO2-c | TiO2-mp,60.0 | nan,ALD | Spin-coating
203,TiO2-c | TiO2-mp,30.0 | 200.0,Spin-coating | Spin-coating
204,TiO2-c | TiO2-mp,30.0 | 200.0,Spin-coating | Spin-coating
205,TiO2-c | TiO2-mp,30.0 | 200.0,Spin-coating | Spin-coating
206,TiO2-c | TiO2-mp,30.0 | 200.0,Spin-coating | Spin-coating
207,PCBM-60,,Spin-coating
208,PCBM-60,,Spin-coating
209,CeOx,,Spin-coating
210,PCBM-60,,Spin-coating
211,TiO2-c,,Spin-coating
212,CeOx | PCBM-60,,Spin-coating | Spin-coating
213,TiO2-c,65,Spin-coating
214,TiO2-c,65,Spin-coating
215,TiO2-c,65,Spin-coating
216,TiO2-c,65,Spin-coating
217,TiO2-c,65,Spin-coating
218,TiO2-c,65,Spin-coating
219,TiO2-c,65,Spin-coating
220,TiO2-c,65,Spin-coating
221,TiO2-c,65,Spin-coating
222,TiO2-c,65,Spin-coating
223,TiO2-c,65,Spin-coating
224,TiO2-c,65,Spin-coating
225,C60,,Evaporation
226,ZnO-c,,Spin-coating
227,ZnO-c | C60,,Spin-coating | Evaporation
228,ZnO-c,,Spin-coating
229,ZnO-c,,Spin-coating
230,ZnO-c,,Spin-coating
231,ZnO-c,,Spin-coating
232,ZnO-c,,Spin-coating
233,ZnO-c,,Spin-coating
234,ZnO-c,,Spin-coating
235,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
236,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
237,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
238,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
239,TiO2-c | TiO2-mp,nan | 180.0,Spin-coating | Spin-coating
240,PCBM-60,,Spin-coating
241,PCBM-60,,Spin-coating
242,PCBM-60,,Spin-coating
243,PCBM-60,,Spin-coating
244,PCBM-60,,Spin-coating
245,PCBM-60,,Spin-coating
246,Bi2S3,,Evaporation
247,TiO2-c,,Spray-pyrolys
248,TiO2-c | TiO2-mp,100.0 | 500.0,Spray-pyrolys | Spin-coating
249,TiO2-c | TiO2-mp,100.0 | 500.0,Spray-pyrolys | Spin-coating
250,TiO2-c | TiO2-mp,100.0 | 500.0,Spray-pyrolys | Spin-coating
251,TiO2-c,,Spray-pyrolys
252,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
253,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
254,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
255,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
256,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
257,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
258,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
259,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
260,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
261,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
262,PCBM-60,,Spin-coating
263,PCBM-60,,Spin-coating
264,C60 | BCP,,Evaporation | Evaporation
265,C60 | BCP,,Evaporation | Evaporation
266,C60 | BCP,,Evaporation | Evaporation
267,TiO2-c,50,Spin-coating
268,TiO2-c,50,Spin-coating
269,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
270,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
271,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
272,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
273,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
274,TiO2-c | TiO2-mp,,Spray-pyrolys | Spin-coating
275,TiO2-c | TiO2-mp,,Spray-pyrolys | Spin-coating
276,TiO2-c | TiO2-mp,,Spray-pyrolys | Spin-coating
277,TiO2-c | TiO2-mp,,Spray-pyrolys | Spin-coating
278,TiO2-c | TiO2-mp,,Spray-pyrolys | Spin-coating
279,TiO2-c | TiO2-mp,,Spray-pyrolys | Spin-coating
280,TiO2-c | TiO2-mp,,Spray-pyrolys | Spin-coating
282,TiO2-c | TiO2-mp,,Spray-pyrolys | Spin-coating
283,TiO2-c | TiO2-mp,,Spray-pyrolys | Spin-coating
284,TiO2-c | TiO2-mp,,Spray-pyrolys | Spin-coating
285,TiO2-c | TiO2-mp,,Spray-pyrolys | Spin-coating
286,TiO2-c | TiO2-mp,,Spray-pyrolys | Spin-coating
287,TiO2-c | TiO2-mp,,Spray-pyrolys | Spin-coating
288,TiO2-c | TiO2-mp,,Spray-pyrolys | Spin-coating
289,TiO2-c | TiO2-mp,,Spray-pyrolys | Spin-coating
290,TiO2-c,,Spin-coating
291,TiO2-c,,Spin-coating
292,TiO2-c,,Spin-coating
293,TiO2-c,,Spin-coating
294,TiO2-c,,Spin-coating
295,TiO2-c,,Spin-coating
296,PCBM-60,,Spin-coating
297,TiO2-c,,Spin-coating
298,In2O3 | PCBM-60,,Spin-coating | Spin-coating
299,In2O3 | PCBM-60,,Spin-coating | Spin-coating
300,In2O3 | PCBM-60,,Spin-coating | Spin-coating
301,In2O3 | PCBM-60,,Spin-coating | Spin-coating
302,C60,45,Evaporation | Evaporation
303,C60 | ZnSe,45.0 | 1.0,Evaporation | Evaporation
304,C60 | ZnSe,45.0 | 2.0,Evaporation | Evaporation
305,C60 | ZnSe,45.0 | 3.0,Evaporation | Evaporation
306,C60 | ZnSe,45.0 | 4.0,Evaporation | Evaporation
307,C60 | ZnSe,45.0 | 8.0,Evaporation | Evaporation
308,C60 | BCP,45,Evaporation | Evaporation
309,C60 | ZnSe,45.0 | nan,Evaporation | Evaporation
310,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
311,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
312,c-HATNA | bis-C60,,Spin-coating | Spin-coating
313,c-HATNA | bis-C60,,Spin-coating | Spin-coating
314,c-HATNA | bis-C60,,Spin-coating | Spin-coating
315,c-HATNA | bis-C60,,Spin-coating | Spin-coating
316,c-HATNA | bis-C60,,Spin-coating | Spin-coating
317,c-HATNA | bis-C60,,Spin-coating | Spin-coating
318,c-HATNA | bis-C60,,Spin-coating | Spin-coating
319,c-HATNA | bis-C60,,Spin-coating | Spin-coating
320,c-HATNA | bis-C60,,Spin-coating | Spin-coating
321,c-HATNA | bis-C60,,Spin-coating | Spin-coating
322,c-HATNA | bis-C60,,Spin-coating | Spin-coating
323,c-HATNA | bis-C60,,Spin-coating | Spin-coating
324,PCBM-60 | C60 | BCP,,Unknown
325,TiO2-c,,Spin-coating
326,TiO2-c,,Spin-coating
327,TiO2-c,,Spin-coating
328,TiO2-c,,Spin-coating
329,SnO2-np,,Spin-coating
330,SnO2,,Spin-coating
331,C60 | Bphen,40.0 | 5.0,Evaporation | Evaporation
332,C60 | Bphen,40.0 | 5.0,Evaporation | Evaporation
333,C60 | Bphen,40.0 | 5.0,Evaporation | Evaporation
334,C60 | Bphen,40.0 | 5.0,Evaporation | Evaporation
335,PCBM-60,,Spin-coating
336,PCBM-60,,Spin-coating
337,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
338,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
339,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
340,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
341,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
342,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
343,PCBM-60,20,Spin-coating
344,PCBM-60,20,Spin-coating
345,PCBM-60,20,Spin-coating
347,PCBM-60 | BCP,nan | 10.0,Spin-coating | Evaporation
351,TiO2-c,,Spin-coating
352,TiO2-c,,Spin-coating
350,PCBM-60 | BCP,nan | 10.0,Spin-coating | Evaporation
353,TiO2-c,,Spin-coating
354,TiO2-c,,Spin-coating
355,TiO2-c | TiO2-mp,,Spray-pyrolys | Spin-coating
356,TiO2-c | TiO2-mp,,Spray-pyrolys | Spin-coating
357,TiO2-c | TiO2-mp,,Spray-pyrolys | Spin-coating
358,PCBM-60 | BCP,25.0 | 10.0,Evaporation | Evaporation
359,PCBM-60 | BCP,25.0 | 10.0,Evaporation | Evaporation
360,PCBM-60 | BCP,25.0 | 10.0,Evaporation | Evaporation
361,PCBM-60 | BCP,25.0 | 10.0,Evaporation | Evaporation
362,PCBM-60 | BCP,25.0 | 10.0,Evaporation | Evaporation
363,C60 | BCP,30.0 | nan,Evaporation | Evaporation
364,PCBM-60 | C60 | BCP,nan | 20.0 | 8.0,Spin-coating | Evaporation | Evaporation
365,PCBM-60 | C60 | BCP,nan | 20.0 | 8.0,Spin-coating | Evaporation | Evaporation
366,PCBM-60,,Spin-coating
367,C60; PCBM-60 | BCP,,Spin-coating | Spin-coating
368,C60; PCBM-60 | BCP,,Spin-coating | Spin-coating
369,C60; PCBM-60 | BCP,,Spin-coating | Spin-coating
370,BCP,,Spin-coating
371,TiO2-mp,650,Spin-coating
372,TiO2-mp,650,Spin-coating
373,TiO2-mp,650,Spin-coating
374,TiO2-mp,650,Spin-coating
375,TiO2-c,,Spin-coating
376,TiO2-c,,Spin-coating
377,TiO2-c,,Spin-coating
378,TiO2-c,,Spin-coating
379,PCBM-60 | BCP,,Spin-coating | Spin-coating
380,PCBM-60 | BCP,,Spin-coating | Spin-coating
381,PCBM-60 | BCP,,Spin-coating | Spin-coating
382,PCBM-60 | BCP,,Spin-coating | Spin-coating
383,TiO2-c | TiO2-mp,,Spray-pyrolys | Spin-coating
384,TiO2-c | TiO2-mp,,Spray-pyrolys | Spin-coating
385,TiO2-c | TiO2-mp,,Spray-pyrolys | Spin-coating
386,TiO2-c | TiO2-mp,,Spray-pyrolys | Spin-coating
387,TiO2-c | TiO2-mp,,Spray-pyrolys | Spin-coating
388,TiO2-c | TiO2-mp,,Spray-pyrolys | Spin-coating
389,TiO2-c | TiO2-mp,,Spray-pyrolys | Spin-coating
390,TiO2-c | TiO2-mp,,Spray-pyrolys | Spin-coating
391,TiO2-c,,Spin-coating
392,TiO2-c | TiO2-nt,,Spin-coating | Spin-coating
393,TiO2-c | TiO2-nt,,Spin-coating | Spin-coating
394,TiO2-c | TiO2-nt,,Spin-coating | Spin-coating
395,TiO2-c | TiO2-nt,,Spin-coating | Spin-coating
396,TiO2-c | TiO2-nt,,Spin-coating | Spin-coating
397,TiO2-c | TiO2-mp,50.0 | 300.0,Spray-pyrolys | Spin-coating
398,TiO2-c | TiO2-mp,50.0 | 300.0,Spray-pyrolys | Spin-coating
399,TiO2-c | TiO2-mp,50.0 | 300.0,Spray-pyrolys | Spin-coating
400,TiO2-c | TiO2-mp,50.0 | 300.0,Spray-pyrolys | Spin-coating
401,TiO2-c | TiO2-mp,50.0 | 300.0,Spray-pyrolys | Spin-coating
402,TiO2-c | TiO2-mp,50.0 | 300.0,Spray-pyrolys | Spin-coating
403,TiO2-c | TiO2-mp,50.0 | 300.0,Spray-pyrolys | Spin-coating
404,TiO2-c | TiO2-mp,50.0 | 300.0,Spray-pyrolys | Spin-coating
405,TiO2-c,,Spin-coating
406,TiO2-c,,Spin-coating
407,TiO2-c,,Spin-coating
408,TiO2-c,,Spin-coating
409,TiO2-c,,Spin-coating
410,TiO2-c,,Spin-coating
411,TiO2-c,,Unknown
412,TiO2-c,,Unknown
413,TiO2-c,,Unknown
414,TiO2-c,,Unknown
415,TiO2-c,,Unknown
416,TiO2-c,,Unknown
417,TiO2-c | TiO2-mp,,Dipp-coating | Spin-coating
418,TiO2-c | TiO2-mp,,Dipp-coating | Spin-coating
419,TiO2-c | TiO2-mp,,Dipp-coating | Spin-coating
420,TiO2-c | TiO2-mp,,Dipp-coating | Spin-coating
421,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
422,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
423,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
424,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
425,PCBM-60,,Spin-coating
426,ZnO | C60,,Spin-coating | Spin-coating
427,ZnO | C60,,Spin-coating | Spin-coating
428,PCBM-60 | BCP,,Spin-coating | Spin-coating
429,PCBM-60 | BCP,,Spin-coating | Spin-coating
430,TiO2-c,,Unknown
431,C60,,Unknown
432,PCBM-60 | BCP,,Unknown | Unknown
433,C60 | BCP,20.0 | 6.0,Evaporation | Evaporation
434,C60 | BCP,20.0 | 6.0,Evaporation | Evaporation
435,C60 | BCP,20.0 | 6.0,Evaporation | Evaporation
436,C60 | BCP,20.0 | 6.0,Evaporation | Evaporation
437,C60 | BCP,20.0 | 6.0,Evaporation | Evaporation
438,C60 | BCP,20.0 | 6.0,Evaporation | Evaporation
439,C60 | BCP,20.0 | 6.0,Evaporation | Evaporation
440,C60 | BCP,20.0 | 6.0,Evaporation | Evaporation
441,PCBM-60,,Spin-coating
442,PCBM-60 | C3-CBL,nan | 5.0,Spin-coating | Spin-coating
443,PCBM-60 | C3-CBL,nan | 10.0,Spin-coating | Spin-coating
444,PCBM-60 | C3-CBL,nan | 15.0,Spin-coating | Spin-coating
445,PCBM-60 | C3-CBL,nan | 20.0,Spin-coating | Spin-coating
446,PCBM-60 | C3-CBL,,Spin-coating | Spin-coating
447,PCBM-60,,Spin-coating
448,PCBM-60 | C3-CBL,,Spin-coating | Spin-coating
449,ZnO-c,45,Spin-coating
450,ZnO-c,45,Spin-coating
451,TiO2-c | TiO2-mp,50.0 | nan,Spray-pyrolys | Spin-coating
452,TiO2-c | TiO2-mp,50.0 | nan,Spray-pyrolys | Spin-coating
453,TiO2-c | TiO2-mp,50.0 | nan,Spray-pyrolys | Spin-coating
454,TiO2-c | TiO2-mp,50.0 | nan,Spray-pyrolys | Spin-coating
455,TiO2-c | TiO2-mp,50.0 | nan,Spray-pyrolys | Spin-coating
456,TiO2-c | TiO2-mp,nan | 200.0,Spray-pyrolys | Spin-coating
457,TiO2-c | TiO2-mp,nan | 200.0,Spray-pyrolys | Spin-coating
458,TiO2-c | TiO2-mp,nan | 200.0,Spray-pyrolys | Spin-coating
459,TiO2-c | TiO2-mp,nan | 200.0,Spray-pyrolys | Spin-coating
460,TiO2-c | TiO2-mp,nan | 200.0,Spray-pyrolys | Spin-coating
461,TiO2-c | TiO2-mp,nan | 200.0,Spray-pyrolys | Spin-coating
462,TiO2-c | TiO2-mp,nan | 200.0,Spray-pyrolys | Spin-coating
463,TiO2-c | TiO2-mp,nan | 200.0,Spray-pyrolys | Spin-coating
464,TiO2-c | TiO2-mp,nan | 200.0,Spray-pyrolys | Spin-coating
465,TiO2-c | TiO2-mp,nan | 200.0,Spray-pyrolys | Spin-coating
466,TiO2-c | TiO2-mp,nan | 200.0,Spray-pyrolys | Spin-coating
467,TiO2-c | TiO2-mp,nan | 200.0,Spray-pyrolys | Spin-coating
468,TiO2-c | TiO2-mp,nan | 200.0,Spray-pyrolys | Spin-coating
469,TiO2-c | TiO2-mp,nan | 200.0,Spray-pyrolys | Spin-coating
470,TiO2-c | TiO2-mp,nan | 200.0,Spray-pyrolys | Spin-coating
471,TiO2-c | TiO2-mp,nan | 200.0,Spray-pyrolys | Spin-coating
472,TiO2-c | TiO2-mp,nan | 200.0,Spray-pyrolys | Spin-coating
473,TiO2-c | TiO2-mp,nan | 200.0,Spray-pyrolys | Spin-coating
474,TiO2-c | TiO2-mp,nan | 200.0,Spray-pyrolys | Spin-coating
475,TiO2-c,50,Spin-coating
476,TiO2-c | TiO2-nt,50.0 | 430.0,Spin-coating | Unknown
477,TiO2-c | TiO2-nt,50.0 | 350.0,Spin-coating | Unknown
478,PCBM-60 | BCP,,Spin-coating | Spin-coating
479,PCBM-60 | BCP,,Spin-coating | Spin-coating
480,TiO2-c | SrTiO3-np,,Spin-coating | Spin-coating
481,TiO2-c,,Spin-coating
482,TiO2-c | SrTiO3-np; TiO2-nw,,Spin-coating | Spin-coating
483,TiO2-c | SrTiO3-np; TiO2-nw,,Spin-coating | Spin-coating
