Ref_ID,ETL_stack_sequence,ETL_thickness,ETL_deposition_procedure
36350,TiO2-c | TiO2-mp | TiO2-c,100.0 | nan | 2.0,ALD | Flame aerosol | ALD
36351,TiO2-c | TiO2-mp | TiO2-c,100.0 | nan | 5.0,ALD | Flame aerosol | ALD
36352,TiO2-c | TiO2-mp | TiO2-c,100.0 | nan | 10.0,ALD | Flame aerosol | ALD
36353,TiO2-c | TiO2-mp,100.0 | nan,ALD | Spin-coating
36354,PCBM-60 | C60,,Spin-coating | Evaporation
36355,PCBM-60 | C60,,Spin-coating | Evaporation
36356,PCBM-60 | C60,,Spin-coating | Evaporation
36357,PCBM-60 | C60,,Spin-coating | Evaporation
36358,PCBM-60 | C60,,Spin-coating | Evaporation
36359,PCBM-60 | C60,,Spin-coating | Evaporation
36360,PCBM-60 | C60,,Spin-coating | Evaporation
36361,PCBM-60 | C60,,Spin-coating | Evaporation
36362,PCBM-60 | C60,,Spin-coating | Evaporation
36363,PCBM-60 | C60,,Spin-coating | Evaporation
36364,PCBM-60 | C60,,Spin-coating | Evaporation
36365,PCBM-60 | C60,,Spin-coating | Evaporation
36366,TiO2-c | PCBM-60,,Spray-pyrolys | Spin-coating
36367,TiO2-c | PCBM-60,,Spray-pyrolys | Spin-coating
36368,TiO2-c | PCBM-60,,Spray-pyrolys | Spin-coating
36369,PCBM-60,,Spin-coating
36370,PCBM-60,,Spin-coating
36371,ZnO-np,50,Spin-coating
36372,ZnO-np,50,Spin-coating
36373,ZnO-np,50,Spin-coating
36374,ZnO@rQD-np,50,Spin-coating
36375,ZnO@rQD-np,50,Spin-coating
36376,C60,30,Evaporation
36377,C60,30,Evaporation
36378,C60,30,Evaporation
36379,C60,30,Evaporation
36380,PCBM-60 | LiF,nan | 0.5,Spin-coating | Evaporation
36381,PCBM-60 | LiF,nan | 0.5,Spin-coating | Evaporation
36382,PCBM-60 | LiF,nan | 0.5,Spin-coating | Evaporation
36383,PCBM-60 | LiF,nan | 0.5,Spin-coating | Evaporation
36384,PCBM-60 | LiF,nan | 0.5,Spin-coating | Evaporation
36385,PCBM-60 | LiF,nan | 0.5,Spin-coating | Evaporation
36386,TiO2-c,,Spray-pyrolys
36387,TiO2-c,,Spray-pyrolys
36388,TiO2-c | TiO2-mp,nan | 200.0,Spin-coating | Spin-coating
36389,TiO2-c | TiO2-mp,nan | 200.0,Spin-coating | Spin-coating
36390,TiO2-c | TiO2-mp,nan | 200.0,Spin-coating | Spin-coating
36391,TiO2-c | TiO2-mp,,Spray-pyrolys | Spin-coating
36392,TiO2-c | TiO2-mp,,Spray-pyrolys | Spin-coating
36393,TiO2-c | TiO2-mp,,Spray-pyrolys | Spin-coating
36394,TiO2-c | TiO2-mp,,Spray-pyrolys | Spin-coating
36395,TiO2-c | TiO2-mp,,Spray-pyrolys | Spin-coating
36396,TiO2-c | TiO2-mp,,Spray-pyrolys | Spin-coating
36397,TiO2-c | TiO2-mp,,Spray-pyrolys | Spin-coating
36398,TiO2-c | TiO2-mp,,Spray-pyrolys | Spin-coating
36399,TiO2-c | TiO2-mp,,Spray-pyrolys | Spin-coating
36400,SnO2-c,40,Spin-coating
36401,SnO2-c | CBA-SAM,40.0 | nan,Spin-coating | Spin-coating
36402,SnO2-c | PA-SAM,40.0 | nan,Spin-coating | Spin-coating
36403,SnO2-c | BA-SAM,40.0 | nan,Spin-coating | Spin-coating
36404,SnO2-c | C3-SAM,40.0 | nan,Spin-coating | Spin-coating
36405,SnO2-c | ABA-SAM,40.0 | nan,Spin-coating | Spin-coating
36406,PCBM-60 | PFN,,Spin-coating | Spin-coating
36407,PCBM-60 | PFN,,Spin-coating | Spin-coating
36408,PCBM-60 | PFN,,Spin-coating | Spin-coating
36409,PCBM-60 | PFN,,Spin-coating | Spin-coating
36410,PCBM-60 | PFN,,Spin-coating | Spin-coating
36411,PCBM-60 | PFN,,Spin-coating | Spin-coating
36412,PCBM-60 | PFN,,Spin-coating | Spin-coating
36413,PCBM-60 | PFN,,Spin-coating | Spin-coating
36414,PCBM-60 | PFN,,Spin-coating | Spin-coating
36415,PCBM-60 | PFN,,Spin-coating | Spin-coating
36416,PCBM-60 | PFN,,Spin-coating | Spin-coating
36417,PCBM-60 | PFN,,Spin-coating | Spin-coating
36418,PCBM-60 | PFN,,Spin-coating | Spin-coating
36419,PCBM-60 | PFN,,Spin-coating | Spin-coating
36420,PCBM-60 | PFN,,Spin-coating | Spin-coating
36421,PCBM-60 | PFN,,Spin-coating | Spin-coating
36422,PCBM-60 | PFN,,Spin-coating | Spin-coating
36423,PCBM-60 | PFN,,Spin-coating | Spin-coating
36424,PCBM-60 | PFN,,Spin-coating | Spin-coating
36425,PCBM-60 | PFN,,Spin-coating | Spin-coating
36426,PCBM-60 | PFN,,Spin-coating | Spin-coating
36427,PCBM-60 | PFN,,Spin-coating | Spin-coating
36428,PCBM-60 | ZnO-np,,Spin-coating | Spin-coating
36429,PCBM-60 | ZnO-np,,Spin-coating | Spin-coating
36430,PCBM-60,,Spin-coating
36431,Ag-np; TiO2-c | TiO2-mp | ZrO2-mp,,Spin-coating | Spin-coating | Spin-coating
36432,TiO2-c | Al2O3-mp,,Spray-pyrolys | Spin-coating
36433,TiO2-c | Al2O3-mp,,Spray-pyrolys | Spin-coating
36434,PCBM-60,,Spin-coating
36435,PCBM-60,,Spin-coating
36436,PCBM-60,,Spin-coating
36437,SnO2-c,,CBD
36438,SnO2-c,,CBD
36439,TiO2-c,,Electrospraying
36440,TiO2-c,,Spin-coating
36441,TiO2-c,,Spin-coating
36442,CuInS2 | Al2O3-np,,Spin-coating | Spin-coating
36443,CuInS2 | Al2O3-np,,Spin-coating | Spin-coating
36444,CuInS2 | Al2O3-np,,Spin-coating | Spin-coating
36445,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
36446,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
36447,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
36448,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
36449,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
36450,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
36451,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
36452,PCBM-60,,Spin-coating
36453,PCBM-60,,Spin-coating
36454,PCBM-60,,Spin-coating
36455,PCBM-60,,Spin-coating
36456,PCBM-60,,Spin-coating
36457,PCBM-60,,Spin-coating
36458,PCBM-60,,Spin-coating
36459,PCBM-60,,Spin-coating
36460,PCBM-60,,Spin-coating
36461,SnO2-np,,Spin-coating
36462,SnO2-np,,Spin-coating
36463,SnO2-np,,Spin-coating
36464,SnO2-np,,Spin-coating
36465,SnO2-np,,Spin-coating
36466,TiO2-c,,Spin-coating
36467,TiO2-c | CsCl,,Spin-coating | Spin-coating
36468,ZnO-c,,Magnetron sputtering
36469,TiO2-c | TiO2-mp,30.0 | 250.0,Spray-pyrolys | Spin-coating
36470,TiO2-c | TiO2-mp,30.0 | 250.0,Spray-pyrolys | Spin-coating
36471,TiO2-c | TiO2-mp,30.0 | 250.0,Spray-pyrolys | Spin-coating
36472,TiO2-c | TiO2-mp,30.0 | 250.0,Spray-pyrolys | Spin-coating
36473,TiO2-c,,Spin-coating
36474,PCBM-60 | AZO-np,,Spin-coating | Spin-coating
36475,PCBM-60 | AZO-np,,Spin-coating | Spin-coating
36476,PCBM-60 | AZO-np,,Spin-coating | Spin-coating
36477,PCBM-60,,Spin-coating
36478,PCBM-60,,Spin-coating
36479,PCBM-60,,Spin-coating
36480,PCBM-60,,Spin-coating
36481,PCBM-70,,Spin-coating
36482,PCBM-70,,Spin-coating
36483,TiO2-c,,Spin-coating
36484,TiO2-c | TiO2-mp,nan | 200.0,Spin-coating | Spin-coating
36485,TiO2-c | TiO2-mp,nan | 500.0,Spin-coating | Spin-coating
36486,TiO2-c | TiO2-nw,nan | 370.0,Spin-coating | Hydrothermal
36487,TiO2-c | TiO2-nw,nan | 510.0,Spin-coating | Hydrothermal
36488,TiO2-c | TiO2-nw,nan | 670.0,Spin-coating | Hydrothermal
36489,TiO2-c | TiO2-nw,nan | 1100.0,Spin-coating | Hydrothermal
36490,PCBM-60,,Spin-coating
36491,PCBM-60,,Spin-coating
36492,PCBM-60,,Spin-coating
36493,PCBM-60,,Spin-coating
36494,PCBM-60,,Spin-coating
36495,PCBM-60,,Spin-coating
36496,PCBM-60,,Spin-coating
36497,PCBM-60 | PEI,,Spin-coating | Spin-coating
36498,PCBM-60 | PEI,,Spin-coating | Spin-coating
36499,PCBM-60 | PEI,,Spin-coating | Spin-coating
36500,PCBM-60 | PEI,,Spin-coating | Spin-coating
36501,PCBM-60 | BCP,nan | 5.0,Spin-coating | Evaporation
36502,PCBM-60 | BCP,nan | 5.0,Spin-coating | Evaporation
36503,PCBM-60 | BCP,nan | 5.0,Spin-coating | Evaporation
36504,PCBM-60 | BCP,nan | 5.0,Spin-coating | Evaporation
36505,PCBM-60 | BCP,nan | 5.0,Spin-coating | Evaporation
36506,PCBM-60 | BCP,nan | 5.0,Spin-coating | Evaporation
36507,PCBM-60 | BCP,nan | 5.0,Spin-coating | Evaporation
36508,PCBM-60 | BCP,nan | 5.0,Spin-coating | Evaporation
36509,PCBM-60 | BCP,nan | 5.0,Spin-coating | Evaporation
36510,PCBM-60 | BCP,nan | 5.0,Spin-coating | Evaporation
36511,PCBM-60 | BCP,nan | 5.0,Spin-coating | Evaporation
36512,PCBM-60 | BCP,nan | 5.0,Spin-coating | Evaporation
36513,PCBM-60 | BCP,nan | 5.0,Spin-coating | Evaporation
36514,PCBM-60 | BCP,nan | 5.0,Spin-coating | Evaporation
36515,TiO2-c,55,CBD
36516,TiO2-c,55,CBD
36517,TiO2-c,55,CBD
36518,PSS | PCBM-60 | BCP,,Spin-coating | Spin-coating | Spin-coating
36519,PSS | PCBM-60 | BCP,,Spin-coating | Spin-coating | Spin-coating
36520,PSS | PCBM-60 | BCP,,Spin-coating | Spin-coating | Spin-coating
36521,PSS | PCBM-60 | BCP,,Spin-coating | Spin-coating | Spin-coating
36522,PSS | PCBM-60 | BCP,,Spin-coating | Spin-coating | Spin-coating
36523,PSS | PCBM-60 | BCP,,Spin-coating | Spin-coating | Spin-coating
36524,PSS | PCBM-60 | ZnO-np,,Spin-coating | Spin-coating | Spin-coating
36525,TiO2-c | TiO2-mp,30.0 | 300.0,Spin-coating | Spin-coating
36526,TiO2-c | TiO2-mp,30.0 | 300.0,Spin-coating | Spin-coating
36527,PCBM-60 | BCP,,Spin-coating | Spin-coating
36528,PCBM-60 | BCP,,Spin-coating | Spin-coating
36529,PCBM-60 | BCP,,Spin-coating | Spin-coating
36530,PCBM-60 | BCP,,Spin-coating | Spin-coating
36531,PCBM-60 | BCP,,Spin-coating | Spin-coating
36532,PCBM-60 | BCP,,Spin-coating | Spin-coating
36533,PCBM-60 | BCP,,Spin-coating | Spin-coating
36534,PCBM-60 | BCP,,Spin-coating | Spin-coating
36535,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
36536,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
36537,TiO2-c | TiO2-mp | Carbon-QDs,,Spin-coating | Spin-coating | Spin-coating
36538,TiO2-c | TiO2-mp | Carbon-QDs,,Spin-coating | Spin-coating | Spin-coating
36539,TiO2-c | TiO2-mp | Carbon-QDs,,Spin-coating | Spin-coating | Spin-coating
36540,TiO2-c | TiO2-mp | Carbon-QDs,,Spin-coating | Spin-coating | Spin-coating
36541,TiO2-c | TiO2-mp | ZrO2-mp,nan | 600.0 | 2000.0,Spray-pyrolys | Screen printing | Screen printing
36542,TiO2-c | TiO2-mp | ZrO2-mp,nan | 600.0 | 2000.0,Spray-pyrolys | Screen printing | Screen printing
36543,TiO2-c | TiO2-mp | ZrO2-mp,nan | 600.0 | 2000.0,Spray-pyrolys | Screen printing | Screen printing
36544,TiO2-c | TiO2-mp | ZrO2-mp,nan | 600.0 | 1200.0,Spray-pyrolys | Screen printing | Screen printing
36545,TiO2-c | TiO2-mp | ZrO2-mp,nan | 600.0 | 2000.0,Spray-pyrolys | Screen printing | Screen printing
36546,TiO2-c | TiO2-mp | ZrO2-mp,nan | 600.0 | 3000.0,Spray-pyrolys | Screen printing | Screen printing
36547,TiO2-c | TiO2-mp | ZrO2-mp,nan | 600.0 | 2000.0,Spray-pyrolys | Screen printing | Screen printing
36548,TiO2-c | TiO2-mp | Al2O3-mp,nan | 600.0 | 2000.0,Spray-pyrolys | Screen printing | Screen printing
36549,TiO2-c | TiO2-mp,40.0 | 200.0,Spin-coating | Spin-coating
36550,TiO2-c | TiO2-mp,40.0 | 200.0,Spin-coating | Spin-coating
36551,SnO2-np | C60-SAM,,Spin-coating | Spin-coating
36552,SnO2-np | C60-SAM,,Spin-coating | Spin-coating
36553,TiO2-c | TiO2-mp,nan | 250.0,Spray-pyrolys | Spin-coating
36554,TiO2-c | TiO2-mp,nan | 250.0,Spray-pyrolys | Spin-coating
36555,TiO2-c | TiO2-mp,nan | 250.0,Spray-pyrolys | Spin-coating
36556,TiO2-c | TiO2-mp,nan | 250.0,Spray-pyrolys | Spin-coating
36557,PCBM-60 | BCP,,Spin-coating | Spin-coating
36558,PCBM-60 | BCP,,Spin-coating | Spin-coating
36559,PCBM-60 | BCP,,Spin-coating | Spin-coating
36560,PCBM-60 | BCP,,Unknown
36561,PCBM-60 | BCP,,Unknown
36562,PCBM-60 | BCP,,Unknown
36563,TiO2-c,,Spin-coating
36564,TiO2-c,,Spin-coating
36565,TiO2-c,,Spin-coating
36566,TiO2-c,,Spin-coating
36567,TiO2-c,,Spin-coating
36568,TiO2-c,,Spin-coating
36569,PCBM-60 | BCP,,Spin-coating | Spin-coating
36570,PCBM-60 | BCP,,Spin-coating | Spin-coating
36571,PCBM-60 | BCP,,Spin-coating | Spin-coating
36572,PCBM-60 | BCP,,Spin-coating | Spin-coating
36573,PCBM-60 | BCP,,Spin-coating | Spin-coating
36574,PCBM-60 | BCP,,Spin-coating | Spin-coating
36575,PCBM-60 | BCP,,Spin-coating | Spin-coating
36576,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
36577,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
36578,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
36579,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
36580,PCBM-60 | AZO-np,40.0 | 50.0,Spin-coating | Spin-coating
36581,PCBM-60 | AZO-np,40.0 | 50.0,Spin-coating | Spin-coating
36582,PCBM-60 | AZO-np,40.0 | 50.0,Spin-coating | Spin-coating
36583,PCBM-60 | AZO-np,40.0 | 50.0,Spin-coating | Spin-coating
36584,Unknown,,Unknown
36585,Unknown,,Unknown
36586,PCBM-60,50,Spin-coating
36587,PCBM-60,50,Spin-coating
36588,PCBM-60,,Spin-coating
36589,PCBM-60,,Spin-coating
36590,PCBM-60,,Spin-coating
36591,PCBM-60,,Spin-coating
36592,PCBM-60,,Spin-coating
36593,PCBM-60,,Spin-coating
36594,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
36595,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
36596,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
36597,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
36598,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
36599,TiO2-c,50,Spin-coating
36600,TiO2-c,50,Spin-coating
36601,PCBM-60,50,Spin-coating
36602,PCBM-60,50,Spin-coating
36603,PCBM-60,30,Spin-coating
36604,PCBM-60,30,Spin-coating
36605,TiO2-c | TiO2-mp,,Spray-pyrolys | Spin-coating
36606,Al2O3-c | TiO2-c | TiO2-mp,,ALD | Spray-pyrolys | Spin-coating
36607,Al2O3-c | TiO2-c | TiO2-mp,,ALD | Spray-pyrolys | Spin-coating
36608,Al2O3-c | TiO2-c | TiO2-mp,,ALD | Spray-pyrolys | Spin-coating
36609,Al2O3-c | TiO2-c | TiO2-mp,,ALD | Spray-pyrolys | Spin-coating
36610,Al2O3-c | TiO2-c | TiO2-mp,,ALD | Spray-pyrolys | Spin-coating
36611,Al2O3-c | TiO2-c | TiO2-mp,,ALD | Spray-pyrolys | Spin-coating
36612,Al2O3-c | TiO2-c | TiO2-mp,,ALD | Spray-pyrolys | Spin-coating
36613,PCBM-60,20,Spin-coating
36614,PCBM-60,40,Spin-coating
36615,PCBM-60,100,Spin-coating
36616,TiO2-c | TiO2-mp,nan | 170.0,Spray-pyrolys | Spin-coating
36617,TiO2-c | TiO2-mp,nan | 170.0,Spray-pyrolys | Spin-coating
36618,TiO2-c | TiO2-mp,nan | 170.0,Spray-pyrolys | Spin-coating
36619,TiO2-c | TiO2-mp,nan | 170.0,Spray-pyrolys | Spin-coating
36620,TiO2-c | TiO2-mp,nan | 170.0,Spray-pyrolys | Spin-coating
36621,TiO2-c | TiO2-mp,nan | 170.0,Spray-pyrolys | Spin-coating
36622,TiO2-c | TiO2-mp,nan | 170.0,Spray-pyrolys | Spin-coating
36623,PCBM-60 | C60 | BCP,nan | 20.0 | 8.0,Spin-coating | Evaporation | Evaporation
36624,PCBM-60 | C60 | BCP,nan | 20.0 | 8.0,Spin-coating | Evaporation | Evaporation
36625,TiO2-c,,Spin-coating
36626,TiO2-c,,Spin-coating
36627,PCBM-60,,Spin-coating
36628,ZnO-np,30,Spin-coating
36629,ZnO-np,30,Spin-coating
36630,ZnO-np | PCBM-60,30.0 | nan,Spin-coating | Spin-coating
36631,ZnO-np | PEI,30.0 | nan,Spin-coating | Spin-coating
36632,SnO2-c,,Spin-coating
36633,SnO2-c,,Spin-coating
36634,SnO2-c,,Spin-coating
36635,SnO2-c,,Spin-coating
36636,SnO2-c,,Spin-coating
36637,SnO2-c,,Spin-coating
36638,TiO2-c,,Spin-coating
36639,TiO2-c | CsBr,,Spin-coating | Spin-coating
36640,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
36641,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
36642,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
36643,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
36644,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
36645,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
36646,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
36647,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
36648,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
36649,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
36650,PCBM-60,,Spin-coating
36651,PCBM-60,,Spin-coating
36652,PCBM-60,,Spin-coating
36653,PCBM-60,,Spin-coating
36654,PCBM-60,,Spin-coating
36655,PCBM-60,,Spin-coating
36656,PCBM-60 | Bphen,,Spin-coating | Spin-coating
36657,PCBM-60 | Bphen,,Spin-coating | Spin-coating
36658,PCBM-60 | Bphen,,Spin-coating | Spin-coating
36659,PCBM-60 | Bphen,,Spin-coating | Spin-coating
36660,PCBM-60 | Bphen,,Spin-coating | Spin-coating
36661,PCBM-60 | Bphen,,Spin-coating | Spin-coating
36662,PCBM-60,,Spin-coating
36663,ZnO-c,,Frequency Magnetron Sputteirng
36664,ZnO-c,,Frequency Magnetron Sputteirng
36665,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
36666,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
36667,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
36668,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
36669,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
36670,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
36671,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
36672,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
36673,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
36674,TiO2-c | TiO2-mp,,Spin-coating | Spin-coating
36675,TiO2-c | TiO2-mp,,Electrodeposition | Spin-coating
36676,TiO2-c | TiO2-mp,,Electrodeposition | Spin-coating
36677,TiO2-c | TiO2-mp,,Electrodeposition | Spin-coating
36678,TiO2-c | TiO2-mp,,Electrodeposition | Spin-coating
36679,TiO2-c | TiO2-mp,,Electrodeposition | Spin-coating
36680,TiO2-c | TiO2-mp,,Electrodeposition | Spin-coating
36681,TiO2-c | TiO2-mp,,Electrodeposition | Spin-coating
